Place_Name,Item,,Category,Sub1,Sub2,Within_Places,Total_Instances,Latitude,Longitude,Source? (for LatLon),Notes/questions
"Our Lady of the Pharos, church of",Constantinople - Our Lady of the Pharos,,infrastructure,Ecclesia,church,,1,41.0021,28.58.38,https://en.wikipedia.org/wiki/Church_of_the_Virgin_of_the_Pharos,
Papal Cathedral,Alexandria - Papal Cathedral,,infrastructure,Ecclesia,church,,1,30.0912,31.2762,"https://www.google.com/maps/place/St.+Mark's+Coptic+Orthodox+Cathedral/@30.2858624,30.7186459,9z/data=!4m8!1m2!2m1!1sEgypt+Saint+Mark's+Coptic+Orthodox+Cathedral+!3m4!1s0x14583f9adf8a3ec9:0x56c16c299e2af96c!8m2!3d30.0722775!4d31.2755656",
"St. John the Evangelist, church",Ephesos - St. John the Evangelist,,infrastructure,Ecclesia,church,,1,37.9539,27.3677,"https://www.google.com/maps/place/Basilica+Of+Saint+John/@37.9528691,27.3675619,15z/data=!4m5!3m4!1s0x0:0x11056fac46c6f02c!8m2!3d37.9528691!4d27.3675619",
"St. Michael, Archangel, church of","Constantinople - St. Michael, Archangel",,infrastructure,Ecclesia,church,,1,41.06,29.03,https://en.wikipedia.org/wiki/%C4%B0stinye,Also known as the Michaelion
"St. Mokios, church of",Constantinople - St. Mokios,,infrastructure,Ecclesia,church,,1,41.0101,28.9347,,
"St. Plato, monastery / church of",Constantinople - St. Plato,,infrastructure,Ecclesia,church,,1,40.5946,28.5543,https://en.wikipedia.org/wiki/Monastery_of_Stoudios,"This might actually be the Studios monastery, of which St. Plato was igumen around 797. I've used the coordinates for that location."
"St. Sophia, church",Nicaea - St. Sophia,,infrastructure,Ecclesia,church,,1,40.4281,29.7204,,
"St. Thekla, church",Seleukeia ad Belum (Syria) - St. Thekla,,infrastructure,Ecclesia,church,,1,33.8484,36.5467,,
"St. Theodore of Sphorakios, church of",Constantinople - St. Theodore of Sphorakios,,infrastructure,Ecclesia,church,,1,41.016444,28.959881,,
"St. Theonas, Church",Alexandria - St. Theonas,,infrastructure,Ecclesia,church,,1,31.18894,29.884318,https://books.google.com/books?id=c2NdJo7uLZoC&pg=PA209&lpg=PA209&dq=Alexandria+St.+Theonas+church&source=bl&ots=y_ZbsAAQZe&sig=ACfU3U3EQXlJsbeHpeUH953ZC0xL8E647w&hl=en&sa=X&ved=2ahUKEwim--i55fDnAhW-hHIEHZyfAaU4FBDoATABegQICxAB#v=onepage&q=Alexandria%20St.%20Theonas%20church&f=false ; see also https://www.bibalex.org/alexmed/Projects/Details.aspx?ID=40721d2e-ffc3-4270-933e-63af57067560,"Also known as the Church of Saint Athanasius, which was later replaced by the Mosque of One Thousand Columns. Today the building on this site is called the Church of Santa Rita."
Carthage - The Palace Church,Carthage - The Palace Church,,infrastructure,Ecclesia,church,,1,36.8539,10.3234,"https://www.google.com/maps/place/Acropolium+of+Carthage/@36.8536893,10.3233906,15z/data=!4m5!3m4!1s0x0:0xd9c0633efe7a1fa9!8m2!3d36.8536893!4d10.3233906",
Tomb of Eudokia,Jerusalem - Tomb of Eudokia,,infrastructure,Ecclesia,tomb,,1,31.785,35.23,"https://en.wikipedia.org/wiki/St._Stephen%27s_Basilica,_Jerusalem","Within Church of St. Stephens, now St. Stephens Basilica; changed sub 1 to Ecclesia"
The Dug River/Canal,Alexandria - Dug River/Canal,,infrastructure,Hydrology,canal,,1,31.176419,29.897298,,
Baths of Diocletian,Alexandria - Diocletian Baths,,infrastructure,Populus,baths,,1,41.903,12.498,,
Constantinople - Antiochos Palace,Constantinople - Antiochos Palace,,infrastructure,Imperium,,,1,41.0074,28.9751,https://en.wikipedia.org/wiki/Palace_of_Antiochos,
"Hiereia, palace of",Constantinople - Hiereia,,infrastructure,Imperium,,,1,40.581,29.0202,https://en.wikipedia.org/wiki/Hieria,
"Hormisdas, palace of",Constantinople - Hormisdas,,infrastructure,Imperium,,,1,41.0031,28.9753,https://tools.wmflabs.org/geohack/geohack.php?pagename=Boukoleon_Palace&params=41_00_11_N_28_58_31_E_region:TR_type:landmark,This palace was later named Boukoleon after the end of the 6th century by Justinian I; maybe this should be renamed? 
"Lausos, palace of",Constantinople - Lausos,,infrastructure,Imperium,,,1,41.008,28.975,https://www.thebyzantinelegacy.com/palaces,
the Blanchernai,Constantinople - Blanchernai Palace,,infrastructure,Imperium,,,1,41.038324,28.942639,"https://www.google.com/maps/place/41%C2%B002'18.0%22N+28%C2%B056'33.5%22E/@41.038324,28.9415058,18z/data=!3m1!4b1!4m13!1m6!4m5!1m0!1m3!2m2!1d28.942627!2d41.038315!3m5!1s0x0:0x0!7e2!8m2!3d41.0383244!4d28.9426389",https://www.google.com/maps/d/viewer?mid=1aMswOgkKooHAga21Rmz7OW9y6vP8Mah5&ll=41.03841625314753%2C28.943606823822392&z=16
"Therapeia, palace of",Constantinople - Therapeia,,infrastructure,Imperium,,,1,41.133333,29.05,https://tools.wmflabs.org/geohack/geohack.php?pagename=Tarabya&params=41_08_N_29_03_E_region:TR_type:city_source:GNS-enwiki,suburb of Constantinople
"Theotokos at Blachernai, church of",Constantinople - Theotokos Chapel at Blachernai,,infrastructure,Ecclesia,church,,2,41.0383,28.9425,https://tools.wmflabs.org/geohack/geohack.php?pagename=Church_of_St._Mary_of_Blachernae_(Istanbul)&params=41.0383_N_28.9425_E_type:landmark_region:TR,
The Temple of Serapis,Alexandria - Temple of Serapis,,infrastructure,Religious Non-Christian,temple,,2,31.182345,29.89629,"https://www.google.com/maps/place/Serapeum+and+Pompey's+Pillar/@31.182345,29.8957428,19z/data=!4m5!3m4!1s0x14f5c3c5a2084c55:0xba01b18741829299!8m2!3d31.1823466!4d29.8962872","See Pompey's Pillar, the only complete physical remain of the temple"
Milion,Constantinople - Milion,,infrastructure,Populus,monument,,2,41.008042,28.978067,https://tools.wmflabs.org/geohack/geohack.php?pagename=Milion&params=41_00_28.95_N_28_58_41.04_E_type:landmark_scale:10000_source:frwiki,
Theodosios I,Constantinople - Theodosios I,Constantinople - Statue of Theodosios I,infrastructure,Populus,monument,,2,41.009537,28.961749,"https://www.google.com/maps/dir/Theodosius+Forumu/Balabana%C4%9Fa,+Forum+of+Theodosius,+Ordu+Cd.,+34134+Fatih%2F%C4%B0stanbul,+Turkey/@41.009541,28.9595603,17z/data=!4m14!4m13!1m5!1m1!1s0x14cab971f0edc9a1:0x1ecad85ea5f14767!2m2!1d28.9617387!2d41.0095451!1m5!1m1!1s0x14cab971f0edc9a1:0x1ecad85ea5f14767!2m2!1d28.9617387!2d41.0095451!3e1",
Julian (Sophia) Harbor,Constantinople - Julian (Sophia),,infrastructure,Hydrology,harbour,,2,41.003099,28.967187,"https://www.google.com/maps/place/41%C2%B000'11.2%22N+28%C2%B058'01.9%22E/@41.003088,28.9647565,16.89z/data=!4m14!1m7!3m6!1s0x14cab99a4a1d22b3:0xbb396fd3b268797d!2zS2FkxLFyZ2EgTGltYW7EsSBDZC4sIEZhdGloL8Swc3RhbmJ1bCwgVHVya2V5!3b1!8m2!3d41.0049851!4d28.968579!3m5!1s0x0:0x0!7e2!8m2!3d41.0030992!4d28.9671875",https://en.wikipedia.org/wiki/Kontoskalion (estimated)
Adrianople (Charsian),Constantinople - Adrianople Gate (Charsian) ,,infrastructure,Defense,gate,,2,41.031358,28.935128,,
Aqueduct which enters the city by the Adrianople (Charsian) Gate,Constantinople - Aqueduct at Adrianople (Charsian) Gate,,infrastructure,Defense,gate,,2,41.015944,28.955556,https://tools.wmflabs.org/geohack/geohack.php?pagename=Valens_Aqueduct&params=41_00_57.4_N_28_57_20_E_type:landmark,https://en.wikipedia.org/wiki/Valens_Aqueduct
"Rhegion (Rhesion, Polyandriou)","Rhegion Gate (Rhesion, Polyandriou)",,infrastructure,Defense,gate,,2,41.014945,28.921894,,
Temple of the Jews,Jerusalem - Temple of the Jews,,infrastructure,Religious Non-Christian,synagogue,,2,31.778,35.236,,"this should be collapsed with ""Synaogogue"" -- but keep somewhere In the notes that it is also referred to as ""temple of the jews"""
"St. Euphemia, Church",Chalcedon - Church of St. Euphemia,,infrastructure,Ecclesia,church,,2,41.007056,28.974748,,
Aqueduct of Valens,Constantinople - Aqueduct of Valens,,infrastructure,Hydrology,aqueduct ,,2,41.0057,28.572,https://en.wikipedia.org/wiki/Valens_Aqueduct,
Antioch (Syria) - The Palace,Antioch (Syria) - The Palace,,infrastructure,Imperium,,,3,36.226687,36.16914,,"This is the approximate location; references see: the Wilber map; Giovanni Uggeri, Antiochia sull'Oronte nel IV secolo d.C., in coll. S. Patitucci; A. ASA EGER, (Re)Mapping Medieval Antioch: Urban Transformations from the Early Islamic to theMiddle Byzantine Periods"
Alexandria - Kynegion,Alexandria - Kynegion,,infrastructure,Populus,theater,,3,31.194628,29.903955,"see The chronicle of Theophanes Confessor AM 5870, it is refered to the Alexandria Amphitheatre that was build in 4th century",
Statue of Eudoxia,Constantinople - Statue of Eudoxia,,infrastructure,Populus,monument,,3,41.009,28.979,https://www.thebyzantinelegacy.com/monuments,
Neorion Harbor,Constantinople - Neorion,,infrastructure,Hydrology,harbour,,3,41.0166,28.975,https://tools.wmflabs.org/geohack/geohack.php?pagename=Neorion_Harbour&params=41_1_0_N_28_58_30_E_region:TR-34_type:landmark,
Forum of Constantine,Constantinople - Forum of Constantine,,infrastructure,Populus,forum,,3,41.0087,28.971644,"https://www.google.com/maps/place/Konstantin+Forumu/@41.0085098,28.9690902,17z/data=!3m1!4b1!4m5!3m4!1s0x14cab9a8ead1be2f:0x3c02ec9aa00f8ace!8m2!3d41.0085098!4d28.9712789",
The Palatium,"I am assuming this refers to the Palatine Hill? if so, it should get a designation as such in column E (NK 1/13/20)",,infrastructure,Imperium,,,3,41.5318,12.2913,https://en.wikipedia.org/wiki/Palatine_Hill,
"St. Mamas, Monastery of",Constantinople - St. Mamas,,infrastructure,Ecclesia,monastery,,4,40.999682,28.924072,,
"The Sleepless Ones, monastery of",Constantinople - The Sleepless Ones,,infrastructure,Ecclesia,monastery,,4,40.996,28.929,https://www.livius.org/articles/place/constantinople-istanbul/constantinople-photos/constantinople-monastery-of-st-john-of-studius/,"Most likely meaning the Monastery of St. John the Studius, whose monks belonged to the order of the Akoimati, ""sleepless ones"""
A Hill,Carthage - A Hill,probably referring to Byrsa hill,infrastructure,Topography,hill,,4,36.8525,10.3228,https://www.jstor.org/stable/641293?Search=yes&resultItemClick=true&searchText=byrsa&searchText=hill&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Dbyrsa%2Bhill%26amp%3Bfilter%3D&ab_segments=0%2Fbasic_SYC-5144%2Fcontrol&refreqid=search%3Afb9396864bf1a01e738117bbebceaaf7&seq=1#metadata_info_tab_contents,
Augustaion,Constantinople - Augustaion,,infrastructure,Imperium,court,,4,41.008,28.979,https://en.wikipedia.org/wiki/Augustaion,
Constantinople - Zeuxippos Baths,Constantinople - Zeuxippos Baths,,infrastructure,Populus,baths,,4,41.0023,28.5833,https://en.wikipedia.org/wiki/Baths_of_Zeuxippus,
"Hebdomon, Palace","Constantinople - Hebdomon, Palace",,infrastructure,Imperium,,,4,40.9831,28.8536,https://tools.wmflabs.org/geohack/geohack.php?pagename=Bak%C4%B1rk%C3%B6y&params=40_58_59_N_28_51_13_E_type:city_region:TR,
Mesē,Constantinople - Mesē,,infrastructure,Populus,streets,,5,41.0082 to 41.0096,28.9743 to 28.9619,https://www.medievalists.net/2011/06/the-mese-main-street-of-constantinople/,"this should be a shape file? or at least a line? The mese is the main thoroughfare, a street through much of the city. This is in the CP Palimpsest map, but drawn off of the wikimap. How do we want to do this? "
"Holy St. Eirene, church of",Constantinople - Holy St. Eirene,,infrastructure,Ecclesia,church,,5,41.035,28.5852,https://en.wikipedia.org/wiki/Hagia_Irene,
"Magnaura, palace of",Constantinople - Magnaura,,infrastructure,Imperium,,,5,41.0082,28.9794,"https://www.google.com/maps/place/Sultan+Ahmet,+Fatih%2F%C4%B0stanbul,+Turkey/@41.0060699,28.9755988,16z/data=!4m5!3m4!1s0x14cab9bd261b00a9:0xb04b7944cc9399c6!8m2!3d41.0042322!4d28.9783349",
Holy Sepulchre,Jerusalem - Holy Sepulchre Church,,infrastructure,Ecclesia,church,,6,31.7785,35.2296,https://latitude.to/articles-by-country/il/israel/849/church-of-the-holy-sepulchre,
"St. John the Forerunner in Studios, monastery of",Constantinople - St. John the Forerunner in Studios,,infrastructure,Ecclesia,monastery,,6,40.5946,28.5543,,
Octagonal Church (The Great Church),Antioch (Syria) - Octagonal Church (The Great Church),,infrastructure,Ecclesia,church,,6,36.2166,36.1827,https://www.latlong.net/,
Mount of Olives,Jerusalem - Mount of Olives,,infrastructure,Topography,hill,,7,31.7779,35.2457,https://www.latlong.net/,
Calvary/Golgotha,Jerusalem - Calvary/Golgotha,,infrastructure,Topography,hill,,11,31.778611,35.229444,https://tools.wmflabs.org/geohack/geohack.php?pagename=Calvary&params=31_46_43_N_35_13_46_E_source:kolossus-jawiki,
Golden,Constantinople - Golden Gate,,infrastructure,Defense,gate,,11,40.993177,28.922416,,
Constantinople - Blachernae Great Church,Constantinople - Blachernae Great Church,,infrastructure,Ecclesia,church,,11,41.038,28.943,https://www.thebyzantinelegacy.com/churches,
"Apostles, church of  the",Constantinople - Apostles,,infrastructure,Ecclesia,church,,12,41.111,28.5659,https://en.wikipedia.org/wiki/Church_of_the_Holy_Apostles,
Hagia Sophia (Great Church),Constantinople - Hagia Sophia (Great Church),,infrastructure,Ecclesia,church,within Hagia Sophia,39,41.0031,28.5848,https://en.wikipedia.org/wiki/Hagia_Sophia,
Hippodrome,Constantinople - Hippodrome,,infrastructure,Populus,stadium,within Hippodrome,41,41.006389,28.975833,https://tools.wmflabs.org/geohack/geohack.php?pagename=Hippodrome_of_Constantinople&params=41_00_23_N_28_58_33_E_region:TR_type:landmark_source:dewiki,
"Great Palace, the",Constantinople - Great Palace,,infrastructure,Imperium,,,45,41.021,28.5838,https://en.wikipedia.org/wiki/Great_Palace_of_Constantinople,
