,Field1,Chronicle_Name,Alternative_Names,Category,Comments,Recogito_Names,URI,ID,Lat,Lon,Total_Instances,Year,Value,Province.Theme,Start,End
7526,7526,Emesa,NA,NA,NA,(H)Emesa,http://pleiades.stoa.org/places/668261,668261,34.723414,36.714401,18,5797,1,SYRIA COELE,5796,5992
7536,7536,Gaza,NA,NA,NA,Gaza,http://sws.geonames.org/281133,281133,31.5,34.46667,4,5797,1,PALAESTINA,5796,5992
7557,7557,Jerusalem,NA,NA,NA,Ierusalem/Hierosolyma/Col. Aelia Capitolina,http://pleiades.stoa.org/places/687928,687928,31.776667,35.234167,208,5797,1,PALAESTINA,5796,5992
7624,7624,Nicomedia,NA,NA,NA,Nicomedia,http://pleiades.stoa.org/places/511337,511337,40.76445,29.923486,30,5797,1,BITHYNIA,5796,5992
7662,7662,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5797,3,TUSCIA ET UMBRIA,5796,5992
7688,7688,Sidon,NA,NA,NA,Sidon,http://sws.geonames.org/268064,268064,33.55993,35.37564,5,5797,1,PHOENICE,5796,5992
7719,7719,Thmouis,NA,NA,NA,Thmouis,http://pleiades.stoa.org/places/727249,727249,30.93889,31.51667,1,5797,1,"AEGYPTUS
HERCULIA",5796,5992
7733,7733,Tyre,NA,NA,NA,Tyre,http://sws.geonames.org/267008,267008,33.27333,35.19389,11,5797,1,PHOENICE,5796,5992
7756,7756,Alexandria,NA,NA,NA,Alexandria,http://pleiades.stoa.org/places/727070,727070,31.195371,29.904133,276,5798,1,"AEGYPTUS
IOVIA",5796,5992
7909,7909,Jerusalem,NA,NA,NA,Ierusalem/Hierosolyma/Col. Aelia Capitolina,http://pleiades.stoa.org/places/687928,687928,31.776667,35.234167,208,5798,1,PALAESTINA,5796,5992
8108,8108,Alexandria,NA,NA,NA,Alexandria,http://pleiades.stoa.org/places/727070,727070,31.195371,29.904133,276,5799,1,"AEGYPTUS
IOVIA",5796,5992
9184,9184,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5802,1,SYRIA COELE,5796,5992
9422,9422,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5802,2,TUSCIA ET UMBRIA,5796,5992
9516,9516,Alexandria,NA,NA,NA,Alexandria,http://pleiades.stoa.org/places/727070,727070,31.195371,29.904133,276,5803,1,"AEGYPTUS
IOVIA",5796,5992
9536,9536,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5803,1,SYRIA COELE,5796,5992
9669,9669,Jerusalem,NA,NA,NA,Ierusalem/Hierosolyma/Col. Aelia Capitolina,http://pleiades.stoa.org/places/687928,687928,31.776667,35.234167,208,5803,1,PALAESTINA,5796,5992
9774,9774,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5803,2,TUSCIA ET UMBRIA,5796,5992
10478,10478,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5805,1,TUSCIA ET UMBRIA,5796,5992
10944,10944,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5807,1,SYRIA COELE,5796,5992
11077,11077,Jerusalem,NA,NA,NA,Ierusalem/Hierosolyma/Col. Aelia Capitolina,http://pleiades.stoa.org/places/687928,687928,31.776667,35.234167,208,5807,1,PALAESTINA,5796,5992
11980,11980,Alexandria,NA,NA,NA,Alexandria,http://pleiades.stoa.org/places/727070,727070,31.195371,29.904133,276,5810,1,"AEGYPTUS
IOVIA",5796,5992
12000,12000,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5810,2,SYRIA COELE,5796,5992
12133,12133,Jerusalem,NA,NA,NA,Ierusalem/Hierosolyma/Col. Aelia Capitolina,http://pleiades.stoa.org/places/687928,687928,31.776667,35.234167,208,5810,1,PALAESTINA,5796,5992
12238,12238,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5810,1,TUSCIA ET UMBRIA,5796,5992
12244,12244,Sarapion,NA,NA,NA,Sarapion,http://pleiades.stoa.org/places/40292,40292,2.03597,45.34847,1,5810,1,NA,NA,NA
12684,12684,Alexandria,NA,NA,NA,Alexandria,http://pleiades.stoa.org/places/727070,727070,31.195371,29.904133,276,5812,2,"AEGYPTUS
IOVIA",5796,5992
13036,13036,Alexandria,NA,NA,NA,Alexandria,http://pleiades.stoa.org/places/727070,727070,31.195371,29.904133,276,5813,1,"AEGYPTUS
IOVIA",5796,5992
13131,13131,Cordova,NA,NA,NA,Córdoba,http://sws.geonames.org/2519240,2519240,37.89155,-4.77275,2,5813,1,BAETICA,5796,5992
13607,13607,Nicaea,NA,NA,NA,Helikore/Nicaea,http://dare.ht.lu.se/places/21212,21212,40.426679,29.715443,28,5814,1,BITHYNIA,5796,5992
13608,13608,Nicomedia,NA,NA,NA,Nicomedia,http://pleiades.stoa.org/places/511337,511337,40.76445,29.923486,30,5814,2,BITHYNIA,5796,5992
13646,13646,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5814,5,TUSCIA ET UMBRIA,5796,5992
13740,13740,Alexandria,NA,NA,NA,Alexandria,http://pleiades.stoa.org/places/727070,727070,31.195371,29.904133,276,5815,1,"AEGYPTUS
IOVIA",5796,5992
13744,13744,Amida,NA,NA,NA,Ad Tygrem/Amida,http://pleiades.stoa.org/places/874298,874298,37.91085,40.23676,18,5815,1,NA,NA,NA
13760,13760,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5815,1,SYRIA COELE,5796,5992
13893,13893,Jerusalem,NA,NA,NA,Ierusalem/Hierosolyma/Col. Aelia Capitolina,http://pleiades.stoa.org/places/687928,687928,31.776667,35.234167,208,5815,1,PALAESTINA,5796,5992
13998,13998,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5815,1,TUSCIA ET UMBRIA,5796,5992
14054,14054,Thessalonica,NA,NA,NA,Thessalonica,http://pleiades.stoa.org/places/491741,491741,40.630282,22.949569,18,5815,1,MACEDONIA,5796,5992
14088,14088,Aigai,NA,NA,NA,Aigai,http://pleiades.stoa.org/places/570040,570040,38.1478,22.3484,1,5816,1,ACHAIA,5796,5992
14092,14092,Alexandria,NA,NA,NA,Alexandria,http://pleiades.stoa.org/places/727070,727070,31.195371,29.904133,276,5816,3,"AEGYPTUS
IOVIA",5796,5992
14101,14101,Anaplous on Bosphorus,NA,NA,NA,Anaplous?/Promotou?,http://pleiades.stoa.org/places/520958,520958,41.067883,29.043018,3,5816,1,EUROPA,5796,5992
14112,14112,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5816,2,SYRIA COELE,5796,5992
14116,14116,Aphaka,NA,NA,NA,"Aphrodite Aphakitis, T.",http://pleiades.stoa.org/places/668195,668195,34.06805,35.89278,1,5816,1,PHOENICE,5796,5992
14147,14147,Beroia (Syria),NA,NA,NA,Beroia,http://pleiades.stoa.org/places/658409,658409,36.199472,37.162027,2,5816,1,SYRIA COELE,5796,5992
14148,14148,Beroia/Eirenoupolis (Thrace),NA,NA,NA,Beroia,http://pleiades.stoa.org/places/658409,658409,36.199472,37.162027,3,5816,1,SYRIA COELE,5796,5992
14185,14185,Constantinople,"in the year 5810, 5812, 5815, 5816, 5827, 5837, 5849, it's called Byzantium and in the year 5821, 5876 it's called New Rome",NA,NA,Constantinopolis,http://pleiades.stoa.org/places/520998,520998,41.012379,28.975926,543,5816,2,EUROPA,5796,5992
14245,14245,Jerusalem,NA,NA,NA,Ierusalem/Hierosolyma/Col. Aelia Capitolina,http://pleiades.stoa.org/places/687928,687928,31.776667,35.234167,208,5816,4,PALAESTINA,5796,5992
14289,14289,Marmarike,NA,REGION,"Marmarica: Region in N. Africa (to E of province Cyrenaica) of a bishop who refuses to condemn Arius: """"Theonas of Marmarike""""",Marmarica,https://pleiades.stoa.org/places/716595,716595,31.5,23.5,1,5816,1,LIBYA SUPERIOR,5796,5992
14310,14310,Neocaesarea (Pontos),NA,NA,NA,Athis/Neocaesarea,http://pleiades.stoa.org/places/668201,668201,35.976326,38.198554,4,5816,1,OSRHOENE,5796,5992
14311,14311,Nicaea,NA,NA,NA,Helikore/Nicaea,http://dare.ht.lu.se/places/21212,21212,40.426679,29.715443,28,5816,2,BITHYNIA,5796,5992
14312,14312,Nicomedia,NA,NA,NA,Nicomedia,http://pleiades.stoa.org/places/511337,511337,40.76445,29.923486,30,5816,2,BITHYNIA,5796,5992
14315,14315,Nisibis,NA,NA,NA,Nisibis/Antiochia,http://pleiades.stoa.org/places/874623,874623,37.068635,41.214619,26,5816,1,NA,NA,NA
14317,14317,Odessos/Odyssopolis/Odyssos,NA,NA,"JT: p. 267 note 19 says this is ""modern Varna""; however, p. 326 says ""Aphrodision"" is ""modern Varna"" and p. 499 says Varna is ""near Odyssos""; nevertheless followed Pleiades in making Odessus same as Varna",Odessus,https://pleiades.stoa.org/places/216904,216904,43.2061605,27.9134725,6,5816,1,"MOESIA
INFERIOR",5796,5992
14323,14323,Pentapolis (Africa) / Cyrenaica,NA,REGION,"Libyan / African Pentapolis: Barce (Al Marj); Euhesperides (later Berenice, present-day Benghazi); Teuchira (later Arsinoe, present-day Tukrah); and Apollonia (Susah), and Cyrene.",Cyrenaica (region),https://pleiades.stoa.org/places/373777,373777,32.49965333,20.87174333,3,5816,1,LIBYA SUPERIOR,5796,5992
14343,14343,Ptolemais,NA,NA,NA,Ptolemais,http://pleiades.stoa.org/places/639073,639073,36.613394,31.792846,1,5816,1,"LYCIA ET
PAMPHYLIA",5796,5992
14350,14350,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5816,3,TUSCIA ET UMBRIA,5796,5992
14419,14419,Troy,NA,NA,NA,Ilium/Troia,http://pleiades.stoa.org/places/550595,550595,39.9577,26.23873,3,5816,2,HELLESPONTUS,5796,5992
14421,14421,Tyre,NA,NA,NA,Tyre,http://sws.geonames.org/267008,267008,33.27333,35.19389,11,5816,2,PHOENICE,5796,5992
14444,14444,Alexandria,NA,NA,NA,Alexandria,http://pleiades.stoa.org/places/727070,727070,31.195371,29.904133,276,5817,1,"AEGYPTUS
IOVIA",5796,5992
14464,14464,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5817,1,SYRIA COELE,5796,5992
14505,14505,Bethlehem,NA,NA,NA,Bethlehem,http://pleiades.stoa.org/places/687856,687856,31.70431,35.20746,1,5817,1,PALAESTINA,5796,5992
14537,14537,Constantinople,"in the year 5810, 5812, 5815, 5816, 5827, 5837, 5849, it's called Byzantium and in the year 5821, 5876 it's called New Rome",NA,NA,Constantinopolis,http://pleiades.stoa.org/places/520998,520998,41.012379,28.975926,543,5817,3,EUROPA,5796,5992
14541,14541,Ctesiphon,NA,NA,NA,Ctesiphon,http://pleiades.stoa.org/places/893976,893976,33.093582,44.580717,13,5817,1,NA,NA,NA
14597,14597,Jerusalem,NA,NA,NA,Ierusalem/Hierosolyma/Col. Aelia Capitolina,http://pleiades.stoa.org/places/687928,687928,31.776667,35.234167,208,5817,5,PALAESTINA,5796,5992
14702,14702,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5817,1,TUSCIA ET UMBRIA,5796,5992
14715,14715,Seleukeia (Persia),Veh-Ardasher/Goudeser,NA,NA,Seleukeia,http://pleiades.stoa.org/places/678383,678383,32.75,35.75,4,5817,1,ARABIA,5796,5992
14716,14716,Seleukeia ad Belum (Syria),NA,NA,NA,Seleukeia,http://pleiades.stoa.org/places/639099,639099,36.873988,31.475921,3,5817,1,"LYCIA ET
PAMPHYLIA",5796,5992
14796,14796,Alexandria,NA,NA,NA,Alexandria,http://pleiades.stoa.org/places/727070,727070,31.195371,29.904133,276,5818,1,"AEGYPTUS
IOVIA",5796,5992
14816,14816,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5818,2,SYRIA COELE,5796,5992
14889,14889,Constantinople,"in the year 5810, 5812, 5815, 5816, 5827, 5837, 5849, it's called Byzantium and in the year 5821, 5876 it's called New Rome",NA,NA,Constantinopolis,http://pleiades.stoa.org/places/520998,520998,41.012379,28.975926,543,5818,1,EUROPA,5796,5992
14912,14912,Drepana,NA,NA,NA,Drepanum,http://pleiades.stoa.org/places/462187,462187,38.017128,12.51782,1,5818,1,SICILIA,5796,5992
14934,14934,Helenopolis,NA,NA,NA,Drepanon/Helenopolis,http://pleiades.stoa.org/places/511240,511240,40.721717,29.502087,1,5818,1,BITHYNIA,5796,5992
14949,14949,Jerusalem,NA,NA,NA,Ierusalem/Hierosolyma/Col. Aelia Capitolina,http://pleiades.stoa.org/places/687928,687928,31.776667,35.234167,208,5818,1,PALAESTINA,5796,5992
15015,15015,Nicaea,NA,NA,NA,Helikore/Nicaea,http://dare.ht.lu.se/places/21212,21212,40.426679,29.715443,28,5818,1,BITHYNIA,5796,5992
15016,15016,Nicomedia,NA,NA,NA,Nicomedia,http://pleiades.stoa.org/places/511337,511337,40.76445,29.923486,30,5818,1,BITHYNIA,5796,5992
15054,15054,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5818,1,TUSCIA ET UMBRIA,5796,5992
15168,15168,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5819,1,SYRIA COELE,5796,5992
15945,15945,Constantinople,"in the year 5810, 5812, 5815, 5816, 5827, 5837, 5849, it's called Byzantium and in the year 5821, 5876 it's called New Rome",NA,NA,Constantinopolis,http://pleiades.stoa.org/places/520998,520998,41.012379,28.975926,543,5821,3,EUROPA,5796,5992
16110,16110,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5821,2,TUSCIA ET UMBRIA,5796,5992
16204,16204,Alexandria,NA,NA,NA,Alexandria,http://pleiades.stoa.org/places/727070,727070,31.195371,29.904133,276,5822,1,"AEGYPTUS
IOVIA",5796,5992
16556,16556,Alexandria,NA,NA,NA,Alexandria,http://pleiades.stoa.org/places/727070,727070,31.195371,29.904133,276,5823,1,"AEGYPTUS
IOVIA",5796,5992
16576,16576,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5823,1,SYRIA COELE,5796,5992
16649,16649,Constantinople,"in the year 5810, 5812, 5815, 5816, 5827, 5837, 5849, it's called Byzantium and in the year 5821, 5876 it's called New Rome",NA,NA,Constantinopolis,http://pleiades.stoa.org/places/520998,520998,41.012379,28.975926,543,5823,1,EUROPA,5796,5992
16709,16709,Jerusalem,NA,NA,NA,Ierusalem/Hierosolyma/Col. Aelia Capitolina,http://pleiades.stoa.org/places/687928,687928,31.776667,35.234167,208,5823,1,PALAESTINA,5796,5992
16776,16776,Nicomedia,NA,NA,NA,Nicomedia,http://pleiades.stoa.org/places/511337,511337,40.76445,29.923486,30,5823,1,BITHYNIA,5796,5992
16814,16814,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5823,1,TUSCIA ET UMBRIA,5796,5992
16928,16928,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5824,2,SYRIA COELE,5796,5992
17168,17168,Salamis/Constantia (Cyprus),was Salamis on Cyprus and Constantia (Cyprus),NA,another option: https://vici.org/vici/41727/,Roman theater at Salamis/Konstantia,http://pleiades.stoa.org/places/192519947,192519947,35.1847443,33.9025028,3,5824,1,CYPRUS,5796,5992
17260,17260,Alexandria,NA,NA,NA,Alexandria,http://pleiades.stoa.org/places/727070,727070,31.195371,29.904133,276,5825,1,"AEGYPTUS
IOVIA",5796,5992
17280,17280,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5825,1,SYRIA COELE,5796,5992
17565,17565,Tarsos/Tarsus,NA,NA,NA,Tarsos,http://pleiades.stoa.org/places/511429,511429,40.745838,30.479425,10,5825,1,BITHYNIA,5796,5992
17632,17632,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5826,1,SYRIA COELE,5796,5992
17831,17831,Nicaea,NA,NA,NA,Helikore/Nicaea,http://dare.ht.lu.se/places/21212,21212,40.426679,29.715443,28,5826,1,BITHYNIA,5796,5992
17832,17832,Nicomedia,NA,NA,NA,Nicomedia,http://pleiades.stoa.org/places/511337,511337,40.76445,29.923486,30,5826,1,BITHYNIA,5796,5992
17964,17964,Alexandria,NA,NA,NA,Alexandria,http://pleiades.stoa.org/places/727070,727070,31.195371,29.904133,276,5827,4,"AEGYPTUS
IOVIA",5796,5992
17984,17984,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5827,2,SYRIA COELE,5796,5992
18039,18039,Caesarea (Palestine),NA,NA,NA,Qesarya,http://sws.geonames.org/7117228,7117228,32.51888,34.90459,11,5827,1,PALAESTINA,5796,5992
18057,18057,Constantinople,"in the year 5810, 5812, 5815, 5816, 5827, 5837, 5849, it's called Byzantium and in the year 5821, 5876 it's called New Rome",NA,NA,Constantinopolis,http://pleiades.stoa.org/places/520998,520998,41.012379,28.975926,543,5827,4,EUROPA,5796,5992
18117,18117,Jerusalem,NA,NA,NA,Ierusalem/Hierosolyma/Col. Aelia Capitolina,http://pleiades.stoa.org/places/687928,687928,31.776667,35.234167,208,5827,4,PALAESTINA,5796,5992
18183,18183,Nicaea,NA,NA,NA,Helikore/Nicaea,http://dare.ht.lu.se/places/21212,21212,40.426679,29.715443,28,5827,1,BITHYNIA,5796,5992
18184,18184,Nicomedia,NA,NA,NA,Nicomedia,http://pleiades.stoa.org/places/511337,511337,40.76445,29.923486,30,5827,6,BITHYNIA,5796,5992
18222,18222,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5827,1,TUSCIA ET UMBRIA,5796,5992
18286,18286,Treviri,NA,NA,Tagging the ampitheatre as being central.,Roman amphitheater at Trier,http://pleiades.stoa.org/places/588236457,588236457,49.74802081,6.64886045,1,5827,1,BELGICA I,5796,5992
18293,18293,Tyre,NA,NA,NA,Tyre,http://sws.geonames.org/267008,267008,33.27333,35.19389,11,5827,5,PHOENICE,5796,5992
18336,18336,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5828,1,SYRIA COELE,5796,5992
18409,18409,Constantinople,"in the year 5810, 5812, 5815, 5816, 5827, 5837, 5849, it's called Byzantium and in the year 5821, 5876 it's called New Rome",NA,NA,Constantinopolis,http://pleiades.stoa.org/places/520998,520998,41.012379,28.975926,543,5828,2,EUROPA,5796,5992
18469,18469,Jerusalem,NA,NA,NA,Ierusalem/Hierosolyma/Col. Aelia Capitolina,http://pleiades.stoa.org/places/687928,687928,31.776667,35.234167,208,5828,1,PALAESTINA,5796,5992
18536,18536,Nicomedia,NA,NA,NA,Nicomedia,http://pleiades.stoa.org/places/511337,511337,40.76445,29.923486,30,5828,3,BITHYNIA,5796,5992
18574,18574,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5828,1,TUSCIA ET UMBRIA,5796,5992
18668,18668,Alexandria,NA,NA,NA,Alexandria,http://pleiades.stoa.org/places/727070,727070,31.195371,29.904133,276,5829,2,"AEGYPTUS
IOVIA",5796,5992
18688,18688,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5829,1,SYRIA COELE,5796,5992
18743,18743,Caesarea (Palestine),NA,NA,NA,Qesarya,http://sws.geonames.org/7117228,7117228,32.51888,34.90459,11,5829,1,PALAESTINA,5796,5992
18761,18761,Constantinople,"in the year 5810, 5812, 5815, 5816, 5827, 5837, 5849, it's called Byzantium and in the year 5821, 5876 it's called New Rome",NA,NA,Constantinopolis,http://pleiades.stoa.org/places/520998,520998,41.012379,28.975926,543,5829,1,EUROPA,5796,5992
18821,18821,Jerusalem,NA,NA,NA,Ierusalem/Hierosolyma/Col. Aelia Capitolina,http://pleiades.stoa.org/places/687928,687928,31.776667,35.234167,208,5829,1,PALAESTINA,5796,5992
18891,18891,Nisibis,NA,NA,NA,Nisibis/Antiochia,http://pleiades.stoa.org/places/874623,874623,37.068635,41.214619,26,5829,4,NA,NA,NA
18926,18926,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5829,1,TUSCIA ET UMBRIA,5796,5992
19240,19240,Nicomedia,NA,NA,NA,Nicomedia,http://pleiades.stoa.org/places/511337,511337,40.76445,29.923486,30,5830,1,BITHYNIA,5796,5992
19372,19372,Alexandria,NA,NA,NA,Alexandria,http://pleiades.stoa.org/places/727070,727070,31.195371,29.904133,276,5831,1,"AEGYPTUS
IOVIA",5796,5992
19392,19392,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5831,1,SYRIA COELE,5796,5992
19394,19394,Antonioupolis,NA,NA,NA,Antoniopolis,http://pleiades.stoa.org/places/844861,844861,40.81142,32.89346,1,5831,1,BITHYNIA,5796,5992
19445,19445,Caesarea (Cappadocia),NA,NA,NA,Kayseri,http://sws.geonames.org/308464,308464,38.73222,35.48528,15,5831,1,CAPPADOCIA,5796,5992
